ID_int,line,branch,name_station,longitude_int,latitude_int,rank_station,rank_intermediate,cumul_distance,index,network,mode,density_artwork,density_atm,density_attraction,density_bakery,density_bank,density_bar,density_beauty_shop,density_bench,density_bicycle_shop,density_bookshop,density_butcher,density_cafe,density_camera,density_car_sharing,density_cinema,density_clothes,density_dentist,density_doctors,density_fast_food,density_florist,density_gift_shop,density_greengrocer,density_hairdresser,density_hotel,density_jeweller,density_kindergarten,density_laundry,density_memorial,density_museum,density_nightclub,density_optician,density_pharmacy,density_playground,density_police,density_pub,density_restaurant,density_school,density_supermarket,density_tourist_info,density_crossing,density_fuel,density_parby,density_stop,density_lamp,density_signals,density_tree,density_bus,density_taxi,density_vacant,density_restfr,density_restas,density_restma,density_restaf,density_resteu,density_restam,density_restin,density_trees_er,density_trees_ma,density_trees_fr,density_trees_pl,density_trees_pr,density_trees_so,density_trees_ti,density_trees,density_toilets,density_velib,density_kinder,density_primary,density_secondary,density_fiber,density_slamps,density_heritage2,density_heritage3,house_prices,noise,elevation,ind_density,hhshare_poor,hhshare_ind,hhshare_large,hhshare_owner,hhshare_mono,hhshare_house,hhshare_b1945,hhshare_a1990,hhshare_social,ind_inc,indshare_b18,indshare_1839,indshare_4064,indshare_a65
17204,METRO 14,1,Mairie de Saint-Ouen,2.33457181889,48.9131199218,1,1,0,14,METRO,METRO,.0341038946814672,.0595819363234616,.059425281944616,.2471777202648418,.1580065087500789,.0915867740749816,.0329520080717686,.1835245302901484,.0035720514065796,.0214470867238153,.123373762548429,.0340902041419418,.190487496130851,.2157615331352421,.086306456674526,.0062484479141393,.1229782170740227,.1439937353931366,.1234221342021764,.0482471596571656,0,.0041029275837939,.1034864152931437,.0264837019578239,0,.26651725798054,.1297567148554997,.0530302870428014,.0157770792604235,0,.068041159880134,.1720188833197342,.2195913550974068,.5303560845554451,.0024773056524861,.0523899683765674,.4412205766321952,.1382594534736019,.0781917844261486,.3094574495271428,.5130236297090887,.015848460112344,.2346304596976828,.0061868763865378,.2050451251500467,.0817369042747126,.5453146964528869,.0764685089079358,,,,,,,,,,,,,,,0,,,.1223408756527007,,,,.9999998683481615,,.004466690656209,.9999999503309379,,48.4726,40.9896,24962.5,.2296748,.49593496,.06300813,.23983739,.15040651,.028455285,.19105691,.40447155,.57520324,20080.412,.21432148,.36404607,.3154732,.098147221
17203,METRO 14,1,,2.33315898765,48.9119029435,,2,.17044598,14,METRO,METRO,.0381036225234031,.0666618166701309,.0623534124630715,.2697406096018376,.1689221532827863,.1066373131585396,.0326975718891887,.1992234369948149,.0052698859600866,.0256126800400331,.1428788422035802,.0317269896197674,.1720731205366108,.2239932479797897,.093276915709305,.0063785138986018,.1230375082210705,.1579262624591461,.1274122816357532,.0611893960534184,0,.010422883481296,.1115592684578912,.0316616732756716,0,.2921258073609738,.1404680191341911,.0545975738007056,.0170903770715938,0,.0726862624125977,.1916391446814573,.2174180735553619,.5453140663895772,.0001750954258576,.0573002722968325,.4673941290228201,.1587773181773768,.064130808950086,.3198408915690681,.5259940667785269,.019168557514043,.2316244663398587,.0078785314001535,.2040830480593963,.1214802913054801,.560574908870638,.0904873408316437,,,,,,,,,,,,,,,.0007434754066083,.0001807549112541,,.1338586993105172,,,,.9999998645421815,,.0044597996130371,.9999999490561106,,52.4344,34.1794,2375,.18181819,.43181819,.045454547,.29545453,.045454547,.045454547,.95454544,0,0,21174.127,.23157895,.32631579,.33684212,.10526316
17202,METRO 14,1,,2.33100758911,48.9102379711,,3,.413697,14,METRO,METRO,.0427029278565395,.0799482164966155,.0666529776264519,.3009420830620875,.1849443542045722,.1113725189904435,.0328677809216731,.2188883832880288,.009062029829929,.0281893738305557,.1774649922382529,.0316559307638601,.1461423336487822,.234577666755374,.1036137863653333,.0071137625415674,.1308500835481039,.1780603621782447,.1301924373744472,.084877655969703,0,.0292853492355243,.1218601640701438,.0354154022342655,3.00844941860e-08,.329755453744997,.1530596154610624,.0563445920517176,.0175634862830784,0,.0793892120571126,.2204271412104493,.2172308568555805,.5651135973263998,0,.0542708977701722,.5040975410872566,.1884226297104518,.0521534363112139,.3301841840468467,.5452459257257913,.023900149423061,.2269209205452548,.0099765712343122,.1991712977370738,.1253906395327207,.5849365035823841,.1092202496056639,,,,,,,,,.0010565725437594,.0003115147458257,.0026804606242506,.0006042239843021,.0038968038725633,0,.0007434754066083,.0001807549112541,,.1433638487946072,,,,.9999998620747352,,.0042168590183052,.9999999472983347,,43.5587,35.0517,8266,.19485295,.40582579,.10011312,.26838234,.11877828,.030542986,.35096154,.5585407,.30967194,20871.656,.27375999,.37781271,.28104281,.066295668
17201,METRO 14,1,,2.32870453394,48.9087818375,,4,.64749873,14,METRO,METRO,.0450182628018009,.0945794510767896,.0707782530383859,.3275220569166362,.197205370005797,.0907980580740015,.0353616941940295,.2254559388808392,.0154769044349091,.0273504199121013,.2156153357923283,.0351848488984185,.1303173756131006,.2423219075029784,.1128248932439545,.0066859815129329,.1448424720168921,.1957281578520498,.1217530185906855,.1140662547339047,0,.0560341179582929,.1323344622563408,.0378892217816219,.0004304599117092,.3646592670703049,.1647468429909762,.0557807768199133,.0159728089342073,0,.0858885657206651,.2449812850500576,.2207699902812529,.5818843241151005,0,.044873766425974,.5345970153855475,.2089150897306452,.0481563743600425,.334686670883292,.5642682661080112,.0274727441268436,.2233162940862993,.0107450417582264,.1932743520206286,.073456276275159,.6086673388804896,.1276208546017113,,,,,,,,,.001094126887399,.0003115147458257,.0028557765280221,.0006042239843021,.0039442853306905,.0020125357285977,.0007434754066083,.0001807549112541,,.1483695704435961,,,,.9999998656648936,,.0041201390509983,.9999999468687718,,47.6293,32.861,8266,.19485295,.40582579,.10011312,.26838234,.11877828,.030542986,.35096154,.5585407,.30967194,20871.656,.27375999,.37781271,.28104281,.066295668
17200,METRO 14,1,,2.32638970124,48.9073444814,,5,.88070971,14,METRO,METRO,.0446798906721143,.1131446955798758,.0750260955237292,.3557760806169056,.2083787243079431,.0649214346973781,.0430568533263144,.2199493467769941,.0276241584332846,.0233877986162482,.2570922599645131,.0367816429033069,.1266362755876946,.2492594335984234,.1232974739789478,.0046437980789815,.1620884621799289,.2124118332109878,.1069166719904598,.1503489734901335,0,.0975203662692647,.144023481598555,.0341460014626311,.0017215347084506,.39609595931665,.1898849828401818,.053452357085325,.0130531171336937,0,.0946273282801575,.2704446257657587,.2267908977912209,.5974639481489219,.0022876318010607,.0335269088239205,.5620386769414499,.2276494153665765,.0479421599044038,.3426624136657566,.5857163802897528,.038743324386397,.2190467572900157,.0096248243280658,.1864508958342596,.0373656013988616,.6298662106832731,.150199811902787,,,,,,,,,.0010894685215032,.0003115147458257,.0054459807700608,.0006042239843021,.0069316147748845,.0020125357285977,.0026791585009412,.0001807549112541,,.1601292419536306,,,,.9999998709933257,,.004322088379832,.9999999476389689,,50.8589,31.6779,8266,.19485295,.40582579,.10011312,.26838234,.11877828,.030542986,.35096154,.5585407,.30967194,20871.656,.27375999,.37781271,.28104281,.066295668
17199,METRO 14,1,,2.32406758032,48.9059189275,,6,1.1133584,14,METRO,METRO,.0429933404249317,.1370536722908552,.0794316138093918,.3851833621780114,.2225148800128568,.0501102670913992,.0598840779978505,.2253415799494665,.0490143285821721,.0181230146642879,.2986745176908795,.0321743220364791,.1224947607007625,.2553129089255772,.1370849308621657,.0037379222743945,.1797630242210831,.2281527900352384,.098094649942858,.1916715168427347,.0000379376428865,.1582382565213403,.1572406111236547,.0256809705693753,.0024908215565186,.4227144561810353,.2234022817920416,.0497486924621808,.0094549520195244,0,.1122664375110171,.2958101824869513,.2344192866200024,.6113102340785,.0126576888676132,.0316685263017928,.5861437901168941,.2508562681171221,.0519607090783516,.3579542992482765,.6090177909306178,.0610037632474612,.2138867537557992,.0068269705922554,.1781958831636509,.0516234792961048,.6478160764497564,.1721356006013346,,,,,,,,,.0047496206261051,.0003118453302961,.0053744053138477,.0006042239843021,.0267147944093978,.0026866999747804,.0110342784619138,.0002123587297509,,.1793410006635189,,,,.999999871389065,,.0048221066487726,.9999999477865835,,49.8195,31.8813,8266,.19485295,.40582579,.10011312,.26838234,.11877828,.030542986,.35096154,.5585407,.30967194,20871.656,.27375999,.37781271,.28104281,.066295668
16514,METRO 14,1,Saint-Ouen,2.32174358956,48.9044964197,2,7,1.3457897,14,METRO,METRO,.0412419037124683,.1622332878457882,.0839057821949946,.4142339223998772,.2364719589960224,.0538184574859103,.0855574565155404,.2487666000071849,.0768612697999983,.014521996431835,.3377361189695033,.0247819451854241,.1243719220157074,.2605384113316824,.1534961159387095,.0057334646362291,.1971350080715965,.242701375590319,.0976524201963415,.2349962128762209,.0011571842956313,.2278839277109656,.1754740724015955,.0227436985693238,.0022198706738129,.4443309380304,.2631315674400732,.0452768603616437,.006466669222218,0,.1373222574769375,.3212586289518333,.2438313064703476,.6237839158810267,.028709703833411,.048232672151145,.6056594244199628,.2776269419926392,.0619958998870825,.3853324782282746,.6337926052332913,.0903525277401146,.2076235549352119,.0032329418609134,.168032899124172,.0676999237322817,.6624425541736138,.1894951699058482,,,,,,,,,.0323671102989248,.004743815961861,.0193665491703279,.0006527023991723,.0484803088447978,.0049663681710601,.0129437142496627,.0013463881800931,,.209289746228039,,,,.9999998693796646,,.0058897537170468,.9999999462379888,,51.1399,37.0763,8266,.19485295,.40582579,.10011312,.26838234,.11877828,.030542986,.35096154,.5585407,.30967194,20871.656,.27375999,.37781271,.28104281,.066295668
16513,METRO 14,1,,2.31979613401,48.9031628138,,8,1.5515522,14,METRO,METRO,.0409251050878622,.1862190812720848,.0881943758812156,.4406556474704011,.2511126289266302,.069163807890223,.114138207102279,.3043731813337485,.1073036153435692,.0134700404682129,.3702939856817941,.0203390748136961,.1399494764029063,.2655297062581284,.1697034495886221,.0062818920937579,.2121843256834109,.2547078918423776,.1089049312520852,.2753294797687861,.0040928378371341,.293404174691798,.1986118762700384,.0343821241606492,.0013977850568074,.4590753935976445,.3063875601256179,.0415394301350976,.0059450300916165,0,.1617185204771138,.3446497260753001,.2509621415575916,.6350120445170223,.0448284854058276,.0809386436033369,.6226195220809272,.3009516985310882,.0736163215190151,.4177484715666733,.657529309704413,.1195239215252221,.2000583291196638,.0021219767780103,.1603544213755391,.1034869228765951,.6745459942429083,.2020539093857549,,,,,,,,,.097426048111193,.0279909660412165,.0411818903909012,.0063744512417712,.0693961571332867,.0097630626128265,.0093753445888426,.0157497562411829,,.2405563943033532,,,,.9999998712783541,0,.007196337266331,.9999999440627814,,51.1438,34.9849,23125.5,.21821161,.42939323,.086377867,.24658495,.12927917,.0078002359,.41897017,.28558615,.39508194,21169.078,.2270005,.32193899,.30330154,.13439709
16512,METRO 14,1,,2.31753990844,48.9016354995,,9,1.788725,14,METRO,METRO,.0420802833099067,.2108889953277363,.0934704025117826,.4671101866700539,.2681329529866209,.0865615045332026,.1453614748524928,.4011208372750242,.1427324260347624,.011733344937122,.4027955111906854,.025255106932299,.1697743745291842,.2703813563492846,.1887017154110077,.0047105912911927,.2268563067017852,.2664887683924578,.1303541387167529,.3155957743671517,.0096498856907766,.3562179431435399,.2279704974787386,.0566660161318341,.0003278592517499,.470058616673029,.352685942199902,.0371453292673919,.0068696029951061,0,.1883931194547271,.3684241882633304,.25717164914197,.6473155687831377,.0688697547272017,.1150306695264579,.63859162609408,.3230726639090643,.0871637962221954,.4514741054498553,.6855292555676252,.1508986136860455,.1906768932347903,.0077994308404566,.1581500022229138,.1982765355854012,.6877621891268331,.2166426186061213,,,,,,,,,.1781822577599542,.0928746056724595,.0606139565705867,.0248744614239636,.0882839058765392,.0132581401625768,.0104044918138517,.0885767578107805,,.2820835456914541,,,,.999999876124738,.999998205519116,.0084920622021323,.9999999413631717,-9999,50.1054,36.4207,23125.5,.21821161,.42939323,.086377867,.24658495,.12927917,.0078002359,.41897017,.28558615,.39508194,21169.078,.2270005,.32193899,.30330154,.13439709
16511,METRO 14,1,,2.31502513879,48.9006157025,,10,2.0051131,14,METRO,METRO,.0423851335316989,.2194039022891381,.0963891289069586,.4713813160582821,.2719905640342771,.0939792636608674,.1551512359895593,.4821522231136764,.1641156436679857,.0074109046603716,.4141372403967577,.0479047224813301,.19820582430347,.2691315167473474,.2015895919817604,.0017019281544807,.2312135615408095,.2724609751833524,.1449761139149755,.3296216862666932,.0119435692599324,.3671189503057958,.2423788665613005,.0972422327213302,.0000847811511727,.4700868966165768,.3682344600951409,.0324775863221168,.0081282886750744,0,.1981579411246254,.3763725375917939,.2629463159679889,.6525201206301722,.0898741512452602,.1249978320315887,.6343346981562332,.3269341758134384,.0940756657202057,.462617202737222,.7088873863136449,.1633636791278121,.1868819869686895,.0168114974433381,.1668113635353221,.2411989843372149,.6946112842692903,.224142762240098,,,,,,,,,.1647582177600345,.1350535589461511,.0610908582058044,.0168505312777914,.0835437493106839,.0107027893918294,.0167987223435737,.127610888456034,.0874991531939374,.3026083988037426,,,,.9999998834675708,.999998201374739,.0092662082566447,.9999999401942649,-9999,49.2558,38.4114,23125.5,.21821161,.42939323,.086377867,.24658495,.12927917,.0078002359,.41897017,.28558615,.39508194,21169.078,.2270005,.32193899,.30330154,.13439709
