ID_int,line,branch,name_station,longitude_int,latitude_int,rank_station,rank_intermediate,cumul_distance,index,network,mode,density_artwork,density_atm,density_attraction,density_bakery,density_bank,density_bar,density_beauty_shop,density_bench,density_bicycle_shop,density_bookshop,density_butcher,density_cafe,density_camera,density_car_sharing,density_cinema,density_clothes,density_dentist,density_doctors,density_fast_food,density_florist,density_gift_shop,density_greengrocer,density_hairdresser,density_hotel,density_jeweller,density_kindergarten,density_laundry,density_memorial,density_museum,density_nightclub,density_optician,density_pharmacy,density_playground,density_police,density_pub,density_restaurant,density_school,density_supermarket,density_tourist_info,density_crossing,density_fuel,density_parby,density_stop,density_lamp,density_signals,density_tree,density_bus,density_taxi,density_vacant,density_restfr,density_restas,density_restma,density_restaf,density_resteu,density_restam,density_restin,density_trees_er,density_trees_ma,density_trees_fr,density_trees_pl,density_trees_pr,density_trees_so,density_trees_ti,density_trees,density_toilets,density_velib,density_kinder,density_primary,density_secondary,density_fiber,density_slamps,density_heritage2,density_heritage3,house_prices,noise,elevation,ind_density,hhshare_poor,hhshare_ind,hhshare_large,hhshare_owner,hhshare_mono,hhshare_house,hhshare_b1945,hhshare_a1990,hhshare_social,ind_inc,indshare_b18,indshare_1839,indshare_4064,indshare_a65
5892,RER B,1,La Plaine-Stade de France,2.36266559883,48.9181138021,10,110,22.191425,B,RER B,RER,.0149832307485508,.1356854310321455,.0149989496892262,.1326061298910253,.0684509289604941,.0278980335702034,.0235343050163409,.2934851333389216,0,0,.1052754982459877,.0270011245345927,.45868192655329,.1894643214754796,.0758584984433111,0,.0727260698405506,.1107259559565922,.0846387983844063,.0188509467809448,0,.0270593097563088,.0218288251674569,.0229806791154728,0,.0718978679780938,.0507943869505877,.0101849721961359,.0000738960657288,0,.0281882748692638,.1165306756809263,.4877548379159569,.3817858675968316,.0387017674254545,.0360862677990207,.4392073325928699,.040408038302446,.2274926822851004,.3641997870044213,.5527778280614459,.0650154957248402,.1351098446099487,.0228776552309056,.2368363490863824,.0199395903865471,.4677193874540666,.0051625498409899,,,,,,,,,,,,,,,,,,.1269023280860844,,,,.999999836840886,,.0015809410362951,.9999999395467601,,54.6762,40.5496,8354.5,.34264275,.27415812,.19765739,.20098829,.16874085,.058199123,.15669839,.4512811,.58052707,15923.791,.33730325,.29584056,.2724041,.078293137
2779,RER B,2,La Courneuve-Aubervilliers,2.38638829106,48.9243538787,10,103,22.227654,B,RER B,RER,.0005117484330168,.0086632084082673,.0075956476786846,.1089328527651196,.0233595252171018,.0016470687331536,.0213970410826698,.0833544887377408,.0127343032612234,.0067426569775032,.0994838674982735,.0003694372476988,.0738921475413292,.1064621436411407,.0697240593042666,0,.0156217349684216,.1192429231662205,.0164123313244887,.0188999003388479,0,.030068037795122,.0353328817641304,7.02352434037e-06,0,.0823264506606467,.0553122556879166,.0161531481149297,0,0,.0358209207356484,.1568940954009144,.4128414127605322,.2698925404198925,.0063874856703745,.0116180559971787,.3389839322746568,.0601432433312706,.0669794007695934,.2733891204407374,.476954919119572,.0142987492736379,.1337960587505014,.0043340588014706,.1025364335571067,.0481791082257524,.365738681501476,0,,,,,,,,,,,,,,,,,,.0567284188054736,,,,.9999998697428008,,.0006395514521964,.9999999512125259,,63.9313,39.3956,9374,.31488338,.26076776,.1844995,.26298299,.15316941,.10215513,.15978354,.25760308,.3867211,16281.535,.30163217,.27026883,.30637935,.11265202
2778,RER B,2,,2.38632046237,48.9243427358,,104,22.232796,B,RER B,RER,.0005336322646704,.0087257552890568,.0075919800706056,.1090646385417824,.0234436683177693,.001679551580495,.0215009541356847,.0834951921349795,.0127103170821822,.0068735694704321,.0996318243976357,.0004094907561452,.0739878916438586,.1066582328455502,.069858051534131,0,.0155689207347198,.1193356631538227,.0165738906989785,.0188785329878413,0,.0303432225195538,.0354493866184993,8.21059313764e-06,0,.0823080686973406,.0552895305232751,.0161305673676547,0,0,.0359130236794171,.1569452539145977,.413631780798526,.2701489111080856,.0064371197137854,.0116012036560619,.3398077202742985,.0602566524443865,.0672129098742559,.2734955486504595,.4772886443894355,.0142851905144027,.1336720561795527,.0043285214118241,.1026111234606322,.0480423843893002,.366149270176393,0,,,,,,,,,,,,,,,,,,.0567057726149378,,,,.9999998698457111,,.0006413159768874,.9999999512279275,,64.30249999999999,39.3489,9374,.31488338,.26076776,.1844995,.26298299,.15316941,.10215513,.15978354,.25760308,.3867211,16281.535,.30163217,.27026883,.30637935,.11265202
5891,RER B,1,,2.3621062719,48.917809134,,111,22.244606,B,RER B,RER,.0150440348428702,.1353275555113734,.0160584495649705,.1324701100331846,.0693262238344229,.0301600404312668,.0239695334605514,.2980169802057263,0,0,.1029216607526584,.0262510588333489,.4661828057792605,.1927109722654971,.0753202390583861,0,.0761140433191412,.1105897440998016,.0835051853744756,.0185235798285828,0,.0248004170695147,.0228275758259953,.022074577027256,0,.0729873528032736,.0509433262220573,.0104575942711026,.0002383100139278,0,.0283906222457254,.1145361412234008,.4831435891528659,.386491290670393,.0395708670840629,.0415865481896018,.4366283380010269,.0402732631990359,.2281131806571144,.3630845213336811,.5541562585239257,.0679746257505742,.1358795157399748,.0239472826486947,.2365998310585516,.0171336591763086,.468567342326178,.0058378270156132,,,,,,,,,,,,,,,,,,.1291054033522132,,,,.9999998367235542,,.001649522577317,.9999999397003856,,54.9027,40.6093,8354.5,.34264275,.27415812,.19765739,.20098829,.16874085,.058199123,.15669839,.4512811,.58052707,15923.791,.33730325,.29584056,.2724041,.078293137
2777,RER B,2,,2.383636908,48.9238705617,,105,22.436346,B,RER B,RER,.0015911588457179,.0129074674884549,.0074096341202164,.113180165446722,.0263087236765828,.0030477058319039,.0241497225329561,.0875085320145134,.0116197243152782,.011608415647709,.1040258258584115,.0040086105286666,.0766398812462487,.1145248919002065,.0747642285660859,5.81686100447e-08,.0144062664539416,.1226449074435711,.0224708078678564,.0176779748853897,0,.0414499533387897,.0388174907804621,.0011951132681226,0,.0812150488792174,.053016351517882,.0152565306545955,0,0,.0382938186732475,.1578958956625351,.4437243291015819,.2806986783655882,.0071169423413663,.0085912252201211,.3720499822502232,.0647307429241442,.078725676134931,.2764127649977812,.4903289922861573,.0129680539029857,.1295692814614414,.0038091983752317,.1052803983461521,.0337510231035381,.3832690327522831,0,,,,,,,,,,,,,,,,,,.0571628313988711,,,,.999999870886415,,.0006995974965622,.9999999509185966,,65.50409999999999,39.8374,12302.5,.37013352,.29915673,.17826189,.1944015,.15387678,.064886391,.18903725,.4230499,.56078708,15365.411,.30717334,.29828897,.28798211,.09517578
5890,RER B,1,,2.3597092601,48.9165134735,,112,22.471781,B,RER B,RER,.0149547537218445,.1291551065041165,.0210376820648369,.1318995675944597,.0719658835886516,.0377719921587846,.0243436204514049,.3022500568800968,.0001415161892185,0,.0925143381568791,.0236825631718869,.4725620478365494,.2066486996974226,.0729226943300019,0,.0909832318483484,.1117332612683597,.0734926212227688,.0173182379908312,0,.0161972571116103,.0274828027395198,.0192069837416333,0,.0796755594523329,.0499481892747824,.0121871317878535,.0020977242815706,0,.0299665814677713,.1074153941795858,.4616690036631508,.4072618539483361,.0397827565790302,.0706092858422991,.4271099299247653,.0405151939549881,.2267274740454082,.3460018377312871,.5598533314114374,.0752843188798805,.1389090268267719,.0271085012949781,.2334077268483528,.0085895820157,.473390271616327,.0086651014620673,,,,,,,,,,,,,,,,,,.1386360358107913,,,,.9999998362463746,,.0018839851007525,.999999940316867,,58.1144,39.1095,2425,.27643171,.31387666,.12885463,.24889868,.13656388,.04955947,.37334803,.61453742,.31387666,19243.801,.30989692,.36597937,.26515463,.056907218
2776,RER B,2,,2.38097204564,48.9233037834,,106,22.641544,B,RER B,RER,.0028645465996007,.0193869122391621,.0071470396511756,.115954547138555,.0280896761121985,.0034588489340848,.0246480116689698,.0879330371576716,.0099036469652352,.0141298028806405,.1069883933102093,.0099526499877621,.0779611054838184,.1230186698870959,.0786643186413245,.0000482880671357,.01548111183488,.1250302710086137,.0266642532137964,.015930285030895,0,.05138351175978,.0400183638142545,.0033006779144854,0,.0796009711012256,.048423748128321,.0142683239950336,0,0,.0384782449027557,.1561985986452707,.4717953059468987,.2919994075504526,.0062125382648241,.0037470298832766,.4024018094531009,.0682415399146663,.093757523268689,.2766444216099607,.502638574176933,.0108234870915078,.1273532699995747,.0029760315140555,.1081072333614902,.0159862485583541,.4020371005883474,.0001787201014923,,,,,,,,,,,,,,,,,,.0682121529747767,,,,.9999998653150587,,.0007571168250983,.9999999490641113,,66.13979999999999,37.4639,12302.5,.37013352,.29915673,.17826189,.1944015,.15387678,.064886391,.18903725,.4230499,.56078708,15365.411,.30717334,.29828897,.28798211,.09517578
5889,RER B,1,,2.35730308371,48.9152349071,,113,22.698452,B,RER B,RER,.0144238463568158,.1192475576803159,.0266880554960825,.1316211767570114,.0732969057608752,.0392867863268807,.022476091772499,.285923672897532,.0013259036823891,0,.0846255898339341,.0207107239092748,.4488212824828232,.2201847191517166,.0713898003156995,0,.105265953596974,.1161365475993517,.0592518296102274,.0178918078532988,3.91788483671e-06,.0090350075493322,.0313217430571235,.0212223263554537,0,.0910356127754921,.0485516848423814,.0154668622257864,.0053392111013148,0,.0324372759856631,.1044553237233037,.4391850158191951,.4289852994301827,.0369946208790517,.0847666976927035,.4206562339878741,.0420991434061818,.2201760636723418,.3160617341819315,.5651454491295892,.0705166163977974,.142467686815462,.0277896352682655,.2243026719423821,.0147055089475055,.4816436990382107,.0110278735608119,,,,,,,,,,,,,,,,,,.1403905145637603,,,,.9999998359277819,,.0019913130981544,.9999999407546409,,65.51439999999999,40.6788,7886.5,.29660109,.30518782,.17209302,.27513418,.14382826,.023291592,.26046512,.69481218,.35563508,18130.428,.31718761,.34234452,.28542447,.051239461
2775,RER B,2,,2.37832500875,48.9226575709,,107,22.848488,B,RER B,RER,.0043431448528106,.0287656909437611,.0068573613070899,.1174364755508275,.0294031923869435,.0027752848566528,.0228038428637231,.0871917996862614,.0075531223325123,.0137579957356077,.1101672619907104,.0148271634319848,.0824649613196045,.1320812898277114,.0814460889519264,.0000752127725368,.0183621782296613,.1260961598393352,.0293981274445083,.0142672194538569,0,.0583544930764126,.038405659667344,.0042935084487318,0,.07726540126347,.0431677421919514,.0130646857512671,0,0,.0364968564545508,.1521797412285814,.4964424305856205,.3038264907146163,.0040754777591615,.0017323686355674,.4283366427081513,.0687646158355861,.1119039214181567,.2789944457018774,.5140656967572791,.0077527740114558,.126268247503774,.0035643966873793,.1149399368692482,.0042412524647494,.4216590738570292,.0007951259100308,,,,,,,,,,,,,,,,,,.083641901703032,,,,.9999998560555342,,.0007985935963108,.9999999462625913,,67.62439999999999,36.3109,12302.5,.37013352,.29915673,.17826189,.1944015,.15387678,.064886391,.18903725,.4230499,.56078708,15365.411,.30717334,.29828897,.28798211,.09517578
